Rosalind_9886 Rosalind_9248
Rosalind_2881 Rosalind_6283
Rosalind_2881 Rosalind_9393
Rosalind_2881 Rosalind_0936
Rosalind_4060 Rosalind_0537
Rosalind_3122 Rosalind_6035
Rosalind_7926 Rosalind_7989
Rosalind_7926 Rosalind_7317
Rosalind_7664 Rosalind_4202
Rosalind_7664 Rosalind_5279
Rosalind_2720 Rosalind_1898
Rosalind_2720 Rosalind_1269
Rosalind_5896 Rosalind_2908
Rosalind_5896 Rosalind_0522
Rosalind_5896 Rosalind_8287
Rosalind_5896 Rosalind_6744
Rosalind_8922 Rosalind_6956
Rosalind_8922 Rosalind_6464
Rosalind_6744 Rosalind_7926
Rosalind_4100 Rosalind_2961
Rosalind_8093 Rosalind_0030
Rosalind_6728 Rosalind_2141
Rosalind_6728 Rosalind_3122
Rosalind_8709 Rosalind_8110
Rosalind_3113 Rosalind_6035
Rosalind_9433 Rosalind_2258
Rosalind_9433 Rosalind_2825
Rosalind_4016 Rosalind_8253
Rosalind_4016 Rosalind_1515
Rosalind_4016 Rosalind_5271
Rosalind_4016 Rosalind_3556
Rosalind_0936 Rosalind_9988
Rosalind_0936 Rosalind_0717
Rosalind_0936 Rosalind_0374
Rosalind_0936 Rosalind_2565
Rosalind_0936 Rosalind_1712
Rosalind_6010 Rosalind_9318
Rosalind_5236 Rosalind_2881
Rosalind_5968 Rosalind_5995
Rosalind_5968 Rosalind_4016
Rosalind_1067 Rosalind_6956
Rosalind_1067 Rosalind_6464
Rosalind_3556 Rosalind_7838
Rosalind_3556 Rosalind_1869
Rosalind_9010 Rosalind_2961
Rosalind_1712 Rosalind_9019
Rosalind_1712 Rosalind_2994
Rosalind_2825 Rosalind_2881
Rosalind_0358 Rosalind_2258
Rosalind_0358 Rosalind_2825
Rosalind_2565 Rosalind_9640
Rosalind_2565 Rosalind_9002
Rosalind_2565 Rosalind_7603
Rosalind_2565 Rosalind_4682
Rosalind_2565 Rosalind_4100
Rosalind_8287 Rosalind_8534
Rosalind_0522 Rosalind_9909
Rosalind_0522 Rosalind_5236
Rosalind_0522 Rosalind_3113
Rosalind_0883 Rosalind_1898
Rosalind_0883 Rosalind_1269
Rosalind_2258 Rosalind_6010
Rosalind_1869 Rosalind_6440
Rosalind_0030 Rosalind_8709
Rosalind_2961 Rosalind_6035
Rosalind_2141 Rosalind_2908
Rosalind_2141 Rosalind_0522
Rosalind_2141 Rosalind_8287
Rosalind_2141 Rosalind_6744
Rosalind_6464 Rosalind_6010
Rosalind_3780 Rosalind_9988
Rosalind_3780 Rosalind_0717
Rosalind_3780 Rosalind_0374
Rosalind_3780 Rosalind_2565
Rosalind_3780 Rosalind_1712
Rosalind_4202 Rosalind_5279
Rosalind_7989 Rosalind_8253
Rosalind_7989 Rosalind_1515
Rosalind_7989 Rosalind_5271
Rosalind_7989 Rosalind_3556
Rosalind_9393 Rosalind_6010
Rosalind_9248 Rosalind_6283
Rosalind_9248 Rosalind_9393
Rosalind_9248 Rosalind_0936
Rosalind_6035 Rosalind_1898
Rosalind_6035 Rosalind_1269
Rosalind_4682 Rosalind_0348
Rosalind_4682 Rosalind_7933
Rosalind_7603 Rosalind_2881
Rosalind_2098 Rosalind_0004
Rosalind_2098 Rosalind_9419
Rosalind_2098 Rosalind_1602
Rosalind_0809 Rosalind_0212
Rosalind_0809 Rosalind_7241
Rosalind_6440 Rosalind_2016
Rosalind_7138 Rosalind_1483
Rosalind_7138 Rosalind_0883
Rosalind_7138 Rosalind_2720
Rosalind_3422 Rosalind_0004
Rosalind_3422 Rosalind_9419
Rosalind_3422 Rosalind_1602
Rosalind_0717 Rosalind_6893
Rosalind_0717 Rosalind_9173
Rosalind_0717 Rosalind_3422
Rosalind_7241 Rosalind_8534
Rosalind_2831 Rosalind_0004
Rosalind_2831 Rosalind_9419
Rosalind_2831 Rosalind_1602
Rosalind_3992 Rosalind_9318
Rosalind_6956 Rosalind_7838
Rosalind_6956 Rosalind_1869
Rosalind_3664 Rosalind_7190
Rosalind_2994 Rosalind_0348
Rosalind_2994 Rosalind_7933
Rosalind_7933 Rosalind_8709
Rosalind_3257 Rosalind_6893
Rosalind_3257 Rosalind_9173
Rosalind_3257 Rosalind_3422
Rosalind_1269 Rosalind_2258
Rosalind_1269 Rosalind_2825
Rosalind_6283 Rosalind_2098
Rosalind_6283 Rosalind_9010
Rosalind_6283 Rosalind_7368
Rosalind_6283 Rosalind_9886
Rosalind_0348 Rosalind_7429
Rosalind_9019 Rosalind_6283
Rosalind_9019 Rosalind_9393
Rosalind_9019 Rosalind_0936
Rosalind_0124 Rosalind_6283
Rosalind_0124 Rosalind_9393
Rosalind_0124 Rosalind_0936
Rosalind_4794 Rosalind_8110
Rosalind_9002 Rosalind_0537
Rosalind_9002 Rosalind_4060
Rosalind_3671 Rosalind_8093
Rosalind_9656 Rosalind_2961
Rosalind_0343 Rosalind_2016
Rosalind_7429 Rosalind_7664
Rosalind_9318 Rosalind_6035
Rosalind_9419 Rosalind_8110
Rosalind_6893 Rosalind_9909
Rosalind_6893 Rosalind_5236
Rosalind_6893 Rosalind_3113
Rosalind_0212 Rosalind_9318
Rosalind_1483 Rosalind_8253
Rosalind_1483 Rosalind_1515
Rosalind_1483 Rosalind_5271
Rosalind_1483 Rosalind_3556
Rosalind_0537 Rosalind_5144
Rosalind_0537 Rosalind_1067
Rosalind_1898 Rosalind_7838
Rosalind_1898 Rosalind_1869
Rosalind_5995 Rosalind_1483
Rosalind_5995 Rosalind_0883
Rosalind_5995 Rosalind_2720
Rosalind_8253 Rosalind_2881
Rosalind_2016 Rosalind_2098
Rosalind_2016 Rosalind_9010
Rosalind_2016 Rosalind_7368
Rosalind_2016 Rosalind_9886
Rosalind_8110 Rosalind_4794
Rosalind_8110 Rosalind_2831
Rosalind_9640 Rosalind_7989
Rosalind_9640 Rosalind_7317
Rosalind_2908 Rosalind_2098
Rosalind_2908 Rosalind_9010
Rosalind_2908 Rosalind_7368
Rosalind_2908 Rosalind_9886
Rosalind_0004 Rosalind_0212
Rosalind_0004 Rosalind_7241
